model,train_dataset,test_dataset,test_rows,accuracy,recall_positive,f1_positive,f1_macro,tn,fp,fn,tp
mbert,mixed_kaggle_plus_cm,kaggle_hinglish_hate,956,0.7290794979079498,0.453083109919571,0.5661641541038526,0.6846029895994548,528,55,204,169
mbert,mixed_kaggle_plus_cm,cm_splits_codemixed,415,0.744578313253012,0.5986394557823129,0.624113475177305,0.7153414091214991,221,47,59,88
mbert,mixed_kaggle_plus_cm,thar_religion,2310,0.5489177489177489,0.229147571035747,0.324254215304799,0.4928613506673442,1018,201,841,250
muril,mixed_kaggle_plus_cm,kaggle_hinglish_hate,956,0.6098326359832636,0.0,0.0,0.3788174139051332,583,0,373,0
muril,mixed_kaggle_plus_cm,cm_splits_codemixed,415,0.6457831325301204,0.0,0.0,0.3923865300146413,268,0,147,0
muril,mixed_kaggle_plus_cm,thar_religion,2310,0.5277056277056277,0.0,0.0,0.345423632757155,1219,0,1091,0
mbert,mixed_cm_plus_thar,kaggle_hinglish_hate,956,0.5271966527196653,0.2654155495978552,0.3046153846153846,0.4732268682189443,405,178,274,99
mbert,mixed_cm_plus_thar,cm_splits_codemixed,415,0.7783132530120482,0.673469387755102,0.6827586206896552,0.7561941251596425,224,44,48,99
mbert,mixed_cm_plus_thar,thar_religion,2310,0.7562770562770563,0.769019248395967,0.7487728692547969,0.7560594064643047,908,311,252,839
muril,mixed_cm_plus_thar,kaggle_hinglish_hate,956,0.6098326359832636,0.0,0.0,0.3788174139051332,583,0,373,0
muril,mixed_cm_plus_thar,cm_splits_codemixed,415,0.6457831325301204,0.0,0.0,0.3923865300146413,268,0,147,0
muril,mixed_cm_plus_thar,thar_religion,2310,0.5277056277056277,0.0,0.0,0.345423632757155,1219,0,1091,0
mbert,mixed_kaggle_plus_thar,kaggle_hinglish_hate,956,0.7165271966527197,0.4986595174262734,0.578538102643857,0.6824920615662153,499,84,187,186
mbert,mixed_kaggle_plus_thar,cm_splits_codemixed,415,0.6,0.3401360544217687,0.3759398496240601,0.5408068042446541,199,69,97,50
mbert,mixed_kaggle_plus_thar,thar_religion,2310,0.7493506493506493,0.7846012832263978,0.7472719336534265,0.7493336911719257,875,344,235,856
muril,mixed_kaggle_plus_thar,kaggle_hinglish_hate,956,0.700836820083682,0.485254691689008,0.558641975308642,0.6661880762619159,489,94,192,181
muril,mixed_kaggle_plus_thar,cm_splits_codemixed,415,0.655421686746988,0.3741496598639456,0.4347826086956521,0.5934744932559717,217,51,92,55
muril,mixed_kaggle_plus_thar,thar_religion,2310,0.7649350649350649,0.7827681026581118,0.7587738782763216,0.7647816204382875,913,306,237,854
mbert,mixed_all_three,kaggle_hinglish_hate,956,0.7280334728033473,0.4772117962466488,0.577922077922078,0.6886523969857303,518,65,195,178
mbert,mixed_all_three,cm_splits_codemixed,415,0.7734939759036145,0.6190476190476191,0.6594202898550725,0.7448725998011825,230,38,56,91
mbert,mixed_all_three,thar_religion,2310,0.7406926406926407,0.7442713107241063,0.7305443094916779,0.740324303264821,899,320,279,812
muril,mixed_all_three,kaggle_hinglish_hate,956,0.7154811715481172,0.450402144772118,0.5526315789473685,0.6720213109460769,516,67,205,168
muril,mixed_all_three,cm_splits_codemixed,415,0.7759036144578313,0.5850340136054422,0.6490566037735849,0.7422274169310402,236,32,61,86
muril,mixed_all_three,thar_religion,2310,0.7627705627705628,0.76993583868011,0.7540394973070018,0.7624712536702234,922,297,251,840
